code,name,market,industry_name,industry_code
2906,高林,listed,貿易百貨業,21
2908,特力,listed,貿易百貨業,21
2910,統領,listed,貿易百貨業,21
2911,麗嬰房,listed,貿易百貨業,21
2912,統一超,listed,貿易百貨業,21
2913,農林,listed,貿易百貨業,21
2915,潤泰全,listed,貿易百貨業,21
2923,鼎固-KY,listed,建材營造業,8
2929,淘帝-KY,listed,貿易百貨業,21
2939,永邑-KY,listed,貿易百貨業,21
2945,三商家購,listed,貿易百貨業,21
3002,歐格,listed,電腦及週邊設備業,33
3003,健和興,listed,電子零組件業,31
3004,豐達科,listed,鋼鐵工業,28
3005,神基,listed,電腦及週邊設備業,33
3006,晶豪科,listed,半導體業,5
3008,大立光,listed,光電業,1
3010,華立,listed,電子通路業,30
3011,今皓,listed,電子零組件業,31
3013,晟銘電,listed,電腦及週邊設備業,33
3014,聯陽,listed,半導體業,5
3015,全漢,listed,電子零組件業,31
3016,嘉晶,listed,半導體業,5
3017,奇鋐,listed,電腦及週邊設備業,33
3018,隆銘綠能,listed,其他電子業,3
3019,亞光,listed,光電業,1
3021,鴻名,listed,電子零組件業,31
3022,威強電,listed,電腦及週邊設備業,33
3023,信邦,listed,電子零組件業,31
3024,憶聲,listed,光電業,1
3025,星通,listed,通信網路業,24
3026,禾伸堂,listed,電子零組件業,31
3027,盛達,listed,通信網路業,24
3028,增你強,listed,電子通路業,30
3029,零壹,listed,資訊服務業,22
3030,德律,listed,其他電子業,3
3031,佰鴻,listed,光電業,1
3032,偉訓,listed,電子零組件業,31
3033,威健,listed,電子通路業,30
3034,聯詠,listed,半導體業,5
3035,智原,listed,半導體業,5
3036,文曄,listed,電子通路業,30
3037,欣興,listed,電子零組件業,31
3038,全台,listed,光電業,1
3040,遠見,listed,其他業,2
3041,揚智,listed,半導體業,5
3042,晶技,listed,電子零組件業,31
3043,科風,listed,其他電子業,3
3044,健鼎,listed,電子零組件業,31
3045,台灣大,listed,通信網路業,24
3046,建碁,listed,電腦及週邊設備業,33
3047,訊舟,listed,通信網路業,24
3048,益登,listed,電子通路業,30
3049,精金,listed,光電業,1
3050,鈺德,listed,光電業,1
3051,力特,listed,光電業,1
3052,夆典,listed,建材營造業,8
3054,立萬利,listed,食品工業,34
3055,蔚華科,listed,電子通路業,30
3056,富華新,listed,建材營造業,8
3057,喬鼎,listed,電腦及週邊設備業,33
3058,立德,listed,電子零組件業,31
3059,華晶科,listed,光電業,1
3060,銘異,listed,電腦及週邊設備業,33
3062,建漢,listed,通信網路業,24
3090,日電貿,listed,電子零組件業,31
3092,鴻碩,listed,電子零組件業,31
3094,聯傑,listed,半導體業,5
3130,一零四,listed,數位雲端,9
3135,凌航,listed,半導體業,5
3138,耀登,listed,通信網路業,24
3149,正達,listed,光電業,1
3164,景岳,listed,生技醫療業,16
3167,大量,listed,電機機械,32
3168,眾福科,listed,光電業,1
3189,景碩,listed,半導體業,5
3209,全科,listed,電子通路業,30
3229,晟鈦,listed,電子零組件業,31
3231,緯創,listed,電腦及週邊設備業,33
3257,虹冠電,listed,半導體業,5
3266,昇陽,listed,建材營造業,8
3296,勝德,listed,電子零組件業,31
3305,昇貿,listed,其他電子業,3
3308,聯德,listed,電子零組件業,31
3311,閎暉,listed,通信網路業,24
3312,弘憶股,listed,電子通路業,30
3321,同泰,listed,電子零組件業,31
3338,泰碩,listed,電子零組件業,31
3346,麗清,listed,汽車工業,13
3356,奇偶,listed,光電業,1
3376,新日興,listed,電子零組件業,31
